土地移轉總面積平方公尺,都市土地使用分區,交易年月,建物大於1,車位數,樓層比例,建物型態,是否透天,是否投資透天,主要用途,屋齡缺失,屋齡,建物移轉總面積平方公尺,是否毛胚,建物現況格局-房,有無管理組織,單價,總價元,車位類別,車位總價元,特殊交易,電梯,latitude,longitude,與竹科距離_km,mean_price_per_unit,high_price_decorated
25.2,住,11310,0,0,0.6,公寓,0,0,住家用,0,114,66.2,0,3,0,120845.9215,8000000,無,0,0,0,24.803444,120.957944,5.422835478,99808.86245,1
13.53,住,11308,0,0,0.4,華廈,0,0,住家用,0,113.8,67.17,0,2,1,156319.7856,10500000,無,0,0,1,24.7892356,121.0162156,1.338283723,165846.988,0
62.87,住,11306,0,0,1.1,透天厝,1,0,住家用,0,113.6,67.5,1,0,0,106666.6667,7200000,無,0,0,0,24.7883093,120.9674924,3.958699019,95587.25411,0
5.89,工,11309,0,1,0.692307692,大樓,0,0,辦公用,0,16,67.76,0,1,1,147579.693,10000000,平面,1100000,0,1,24.7849631,121.0179678,1.271015931,163788.6725,0
10.25,住,11307,0,0,0.4,華廈,0,0,辦公用,0,16,68.03,0,2,1,150668.8226,10250000,無,0,0,1,24.8109764,120.9625896,5.458701225,115879.3492,1
17.84,非,11309,0,0,1,公寓,0,0,住家用,0,29.8,68.13,0,2,0,68985.76251,4700000,無,0,0,0,24.7748991,120.9670864,3.999696439,77261.10818,0
18.11,非,11307,0,1,0.4,公寓,0,0,住家用,0,113.7,68.13,0,2,0,92470.27741,6300000,平面,1100000,0,0,24.7748991,120.9670864,3.999696439,77261.10818,1
21.72,住,11309,0,0,0.8,公寓,0,0,住家用,0,113.9,68.16,0,3,1,72769.95305,4960000,無,0,0,0,24.819718,120.973958,5.317436364,102218.1752,0
40,工,11306,0,0,1.1,透天厝,1,0,住家用,0,113.6,68.86,1,0,0,112547.1972,7750000,無,0,0,0,24.795779,120.9339776,7.444797434,90202.20831,1
39,工,11306,0,0,1.1,透天厝,1,0,住家用,0,113.6,68.86,1,0,0,112547.1972,7750000,無,0,0,0,24.7957839,120.9339378,7.448845957,90202.20831,1
22.59,住,11308,0,1,1,華廈,0,0,住家用,0,4.1,69.48,0,2,1,100748.4168,7000000,升降機械,0,0,1,24.8402057,120.9328093,9.838627498,91568.80744,0
10.25,住,11308,0,0,6,大樓,0,0,住家用,0,26.2,70.23,0,2,1,116759.2197,8200000,無,0,0,1,24.8214084,120.9686429,5.801369302,101461.8905,1
16.85,住,11306,0,1,0.333333333,華廈,0,0,辦公用,0,17.3,70.41,0,1,1,134924.0165,9500000,平面,1100000,0,1,24.7841827,120.9890269,1.734459405,117112.0002,1
17.84,非,11311,0,0,0.2,公寓,0,0,住家用,0,30,70.84,0,3,0,9210.163749,652448,無,0,1,0,24.7748991,120.9670864,3.999696439,77261.10818,0
20.4,住,11308,0,0,1,公寓,0,0,住家用,0,42.9,71.08,0,3,0,95666.85425,6800000,無,0,0,0,24.7947709,120.9781473,3.166350569,118934.3923,0
23.4,住,11307,0,0,0.4,公寓,0,0,住家用,0,45.1,71.4,0,3,0,92436.97479,6600000,無,0,1,0,24.8144478,120.972178,4.988507128,112368.4666,0
22.87,其,11306,0,0,1,華廈,0,0,住家用,0,40.8,71.54,0,3,1,81073.5253,5800000,無,0,0,1,24.8024184,120.9760482,3.801339792,136706.8121,0
14.8,住,11310,0,0,1,公寓,0,0,住家用,0,40.4,71.69,0,3,0,100432.4174,7200000,無,0,0,0,24.8217562,120.9698473,5.75266463,103011.7265,0
10.11,住,11310,0,1,0.923076923,大樓,0,0,住家用,0,16.6,71.97,0,1,1,164651.9383,11850000,平面,1100000,0,1,24.788086,121.016858,1.315826059,166165.0927,0
7.36,商,11309,0,0,0.7,華廈,0,0,住家用,0,33.5,72.31,0,1,1,94731.01922,6850000,無,0,0,1,24.8026247,120.969729,4.339124025,134645.0238,0
27.45,住,11308,0,0,1,公寓,0,0,住家用,0,45.1,72.82,0,3,0,67289.20626,4900000,無,0,0,0,24.7950744,120.964001,4.495971166,109376.9288,0
21.18,非,11306,0,0,0.6,華廈,0,0,住家用,0,29.5,73.23,0,3,1,92858.11826,6800000,無,0,0,1,24.7676102,120.9789249,3.142375919,81594.99134,0
6.22,住,11308,0,1,0.5,大樓,0,0,住家用,0,16.3,73.31,0,1,1,95757.7411,7020000,坡道機械,0,0,1,24.8392436,120.93248,9.79390282,91700.29016,0
