土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,移轉層次,總樓層數,建物型態,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易,電梯
台灣新竹市新竹市境福街２０１巷２８號四樓之２,新竹市新竹市境福街２０１巷２８號四樓之２,32.21,非,110,8,建物1車位1,0,1,四層,十一層,大樓,住家用,113,5,1,0,151.2,3,2,2,有,11860000,坡道機械,17.78,560000,0,有
台灣新竹市新竹市東大路二段６２２之２號,新竹市新竹市東大路二段６２２之２號,32.82,非,113,1,建物1車位1,0,1,一層,十四層,大樓,住家用,113,6,1,0,151.25,3,2,2,有,21090000,坡道平面,20.54,2210000,0,有
台灣新竹市新竹市東大路二段６２２之３號七樓之１,新竹市新竹市東大路二段６２２之３號七樓之１,32.82,非,110,1,建物1車位1,0,1,七層,十四層,大樓,住家用,113,6,1,0,151.28,3,2,2,有,12330000,坡道平面,20.43,560000,0,有
台灣新竹市新竹市東大路二段６２２之１０號九樓之５,新竹市新竹市東大路二段６２２之１０號九樓之５,32.82,非,110,1,建物1車位1,0,1,九層,十四層,大樓,住家用,113,6,1,0,151.4,3,2,2,有,12860000,坡道平面,20.54,540000,0,有
台灣新竹市新竹市明湖路２４３巷１７２號三樓,新竹市新竹市明湖路２４３巷１７２號三樓,43.85,住,110,5,建物1車位1,0,1,三層,七層,華廈,住家用,113,4,1,0,151.42,3,2,2,有,12010000,坡道平面,26.71,650000,0,有
台灣新竹市新竹市東大路二段６２２之３號十樓之１,新竹市新竹市東大路二段６２２之３號十樓之１,32.82,非,110,1,建物1車位1,0,1,十層,十四層,大樓,住家用,113,6,1,0,151.49,3,2,2,有,12720000,坡道平面,20.64,540000,0,有
台灣新竹市新竹市東大路二段６２２之１０號二樓之１,新竹市新竹市東大路二段６２２之１０號二樓之１,32.82,非,110,4,建物1車位1,0,1,二層,十四層,大樓,住家用,113,6,1,0,151.68,3,2,2,有,12770000,坡道平面,21.07,630000,0,有
台灣新竹市新竹市東大路二段６２２之３號十二樓之２,新竹市新竹市東大路二段６２２之３號十二樓之２,32.82,非,110,1,建物1車位1,0,1,十二層,十四層,大樓,住家用,113,6,1,0,151.92,3,2,2,有,12420000,坡道平面,21.07,590000,0,有
台灣新竹市新竹市東大路二段６２２之１０號八樓之５,新竹市新竹市東大路二段６２２之１０號八樓之５,32.82,非,110,1,建物1車位1,0,1,八層,十四層,大樓,住家用,113,6,1,0,151.93,3,2,2,有,12630000,坡道平面,21.07,560000,0,有
台灣新竹市新竹市東大路二段６２２之１０號十二樓之３,新竹市新竹市東大路二段６２２之１０號十二樓之３,32.82,非,110,1,建物1車位1,0,1,十二層,十四層,大樓,住家用,113,6,1,0,151.93,3,2,2,有,12580000,坡道平面,21.07,590000,0,有
